id,user,subject,categorie,annotation,created,subject_class,subject_id,title,size,participants,messages,closed,closed_by,closed_by_id,closed_by_organization,closed_by_organization_id
69b7eab43fa598c7ba5ed750,Antoine Lamé,Le calendrier scolaire,Fiabilité,Erreur dans les données fournies,2026-03-16 11:34,Dataset,5889d03ea3a72974cbf0d5b0,Erreur sur les dates des vacances de Pâques 2025-2026 pour la Martinique,2,"69b7e8f3a5888de77bb1e431,587f81e988ee384e209b81a5","Bonjour,  Je souhaite signaler une erreur dans le jeu de données « Le calendrier scolaire » concernant les vacances de Pâques 2025-2026 pour la Martinique.  Dates actuelles dans le jeu de données :   - Début : 2026-03-28 (samedi 28 mars)   - Fin : 2026-04-13 (lundi 13 avril)  Dates attendues (source : service-public.gouv.fr) :   - Début : 2026-04-02 (jeudi 2 avril)   - Fin : 2026-04-20 (lundi 20 avril)  Ces dates officielles sont par ailleurs identiques à celles de la Guadeloupe, qui sont quant à elles correctement renseignées dans le jeu de données. Les dates erronées de la Martinique (28 mars → 13 avril) ne correspondent à aucun calendrier connu, ni métropolitain (zones A, B, C), ni d'un autre DOM.  L'ensemble des autres périodes de vacances de la Martinique (Toussaint, Noël, Carnaval, Été) sont correctes. L'erreur est donc isolée aux seules vacances de Pâques.  Sources de référence :   - https://www.service-public.gouv.fr/particuliers/vosdroits/F31952   - https://www.martinique.gouv.fr/Vous-etes/Particulier#!/Particuliers/page/F31952   - https://www.ac-martinique.fr/le-calendrier-scolaire-121727  Toutes ces sources donnent les dates du jeudi 2 avril au lundi 20 avril 2026 pour les vacances de Pâques.  Serait-il possible de corriger ces dates dans ce jeu de données ?  Cordialement
Bonjour, merci d'avoir signalé cette erreur. Elle est corrigée.",2026-03-16 13:38,stéphane lebrasseur,58781988384209816,Ministères de l'Éducation nationale,534fff8fa3a7292c64a77f22
693d99b3c8dac133df2f55ec,Joël VELON,Le calendrier scolaire,Accessibilité,Absence de données,2025-12-13 16:52,Dataset,5889d03ea3a72974cbf0d5b0,Vacances scolaires 2026 non rensignées pour la Corse et certains DM/TOM  ,2,"587f81e988ee384e209b81a5,693d9648c52a047dcd939575","Bonjour, Les vacances scolaires en format ics ne sont pas renseignées pour 2026, pour la Corse, Saint-Pierre et Miquelon, la Nouvelle Calédonie et Wallis et Futuna. Merci pour votre action Joël Vélon
Bonjour,  les données ont été mises à jour pour la Corse et Saint-Pierre et Miquelon. Les calendriers 2026 de la Nouvelle Calédonie et de Wallis et Futuna n'ont pas encore été publiés. ",2025-12-15 09:51,stéphane lebrasseur,58781988384209816,Ministères de l'Éducation nationale,534fff8fa3a7292c64a77f22
690ccee58da8092179e328e1,Cyrille Berne,Le calendrier scolaire,Exploitabilité,Formatage non respecté,2025-11-06 16:37,Dataset,5889d03ea3a72974cbf0d5b0,Tableau cassé,1,690ccdf9268af89698258a78,"Bonjour ! Sur la page du calendrier scolaire (celle-ci), le tableau est mal présenté. La première ligne, qui devrait être celle du titre (en gras), contient directement ""zone A"" avec le lien dans la colonne de droite. Mais surtout, dans la suite du tableau, cette dernière est vide, et tout se trouve dans la colonne de gauche, sauf pour certains territoires d'outre-mer à la fin.",,,,,
66a600cf1646f328fdfe22a5,Maxence Moricet,Le calendrier scolaire,Fiabilité,Erreur dans les données fournies,2024-07-28 08:26,Dataset,5889d03ea3a72974cbf0d5b0,"Calendrier zone A, B, C, Corse erroné pour vacances hiver Corse 2025",2,"66a5ff6b460cfc377871773d,587f81e988ee384e209b81a5","Bonjour,  Dans le fichier https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-A-B-C-Corse.ics, les vacances d'hiver pour la Corse apparaissent à partir du 15/02/25 et finissent le 02/04/25.  Ça devrait se finir au 03/03/25
Bonjour, merci pour votre signalement. Le problème est résolu.",,,,,
66964c94341068ce4d672e09,Alain JUPIN,Le calendrier scolaire,Fiabilité,Incohérence des données,2024-07-16 10:33,Dataset,5889d03ea3a72974cbf0d5b0,"Mauvaise date pour ""Journée vaquée (prérentrée - ) - Corse""",2,"66964b489359d489dd957d76,587f81e988ee384e209b81a5","Bonjour, Dans le fichier https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-A-B-C-Corse.ics  se trouve l'entrée ""Journée vaquée (prérentrée - ) - Corse"" qui coure du 8 septembre 2023 au 4 septembre 2024. Cela ne me semble pas cohérent (et je n'ai pas trouvé la date pour 2024 de cette journée vaqué sur le site de l'académie de Corse). 
Bonjour, merci de votre signalement. L'anomalie a été résolue.",,,,,
65c13fe8909ce0c965f5cdf8,Frédéric MATHY,Le calendrier scolaire,Accessibilité,Absence de données,2024-02-05 20:07,Dataset,5889d03ea3a72974cbf0d5b0,Calendrier vacances,2,"65c13f85909ce0c965f5cdf7,587f81e988ee384e209b81a5","Dans le calendrier de la zone disponible à l'adresse suivante : https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-A.ics, il manque la date des Vacances d'Été (prérentrée Enseignants ) : 30/08/2020 au 31/08/2020 A voir si cela peut être corrigé car cette absence est source d'erreurs pour certains scripts. Il en est peut-être de même pour les autres zones.
Bonjour, cet événement a été ajouté.",,,,,
658b0feb8495b06deac11c2a,Julien Palard,Le calendrier scolaire,Exploitabilité,Formatage non respecté,2023-12-26 17:39,Dataset,5889d03ea3a72974cbf0d5b0,Fichier invalide,2,"587f81e988ee384e209b81a5,62060a1b19bc63fff4aa373c","Le fichier de la zone C, https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-C.ics n'est pas valide.  Dans la section VTIMEZONE>DAYLIGHT il y a deux tzname, ce qui n'est pas autorisé par la RFC (et n'a pas de sens).  Ça ressemble actuellement à ça :  ``` BEGIN:DAYLIGHT DTSTART:19700329T020000 TZNAME:CEST TZOFFSETFROM:+0100 TZOFFSETTO:+0200 RRULE:FREQ=YEARLY;INTERVAL=1;BYMONTH=3;BYDAY=-1SU TZNAME:CET END:DAYLIGHT ``` Est-ce que ça peut être réparé ? 
Bonjour, selon les spécifications de la RFC (https://icalendar.org/iCalendar-RFC-5545/3-6-5-time-zone-component.html), ""One of 'standardc' or 'daylightc' MUST occur and each MAY occur more than once"" dans la section VTIMEZONE. Dans le fichier de la Corse, on trouve les 2 sections standardc et daylightc une seule fois chacuns, ce qui est autorisé. Chaque section contient le bloc tzprop qui peut contenir les éléments optionnels suivants : ""The following are OPTIONAL and MAY occur more than once  comment / rdate / tzname / x-prop / iana-prop"". Il est donc autorisé de faire figurer l'attribut tzname 0, 1 ou N fois (ici une fois seulement par section standardc ou daylightc). Le fichier est donc valide, ce qui est confirmé par l'outil ""iCalendar Validator"" : https://icalendar.org/validator.html?url=https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-C.ics",,,,,
657adb17f07becb0d5f811b3,Kaya ozer,Le calendrier scolaire,Accessibilité,Lien mort,2023-12-14 10:38,Dataset,5889d03ea3a72974cbf0d5b0,Lien Calendrien Scolaire zone B ,4,"657b1ff38d8f2ea2af6919bd,657ad7377edc5a0a209a068f","Bonjour,   Je constate que le lien du calendrier scolaire de la zone B ne fonctionne pas sur Google Calendar. Aucun soucis pour le A/B/C , le A et le C.  merci de corriger le problème.   Cordialement
Même problème pour moi  J'ai bien ajouté dans mon Google Calendar les zones A et C, pour la B j'obtiens ""Impossible d'ajouter cet agenda. Réessayez dans quelques minutes"" Lien utilisé : https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-B.ics  J'ai pu téléchargé le fichier en local.
J'ai utilisé l'URL stable et ça a fonctionné  https://www.data.gouv.fr/fr/datasets/le-calendrier-scolaire/#/resources/c03b7373-6698-4e44-b5f1-9408b4b2cfe8
Je confirme il faut utiliser le lien fourni dans la rubrique fichier (https://www.data.gouv.fr/fr/datasets/r/c03b7373-6698-4e44-b5f1-9408b4b2cfe8 ) et non celle du descriptif (https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-B.ics)  Merci",,,,,
652e99d3f0a0f37285024e50,Jacques DUBOIS,Le calendrier scolaire,Exploitabilité,Formatage non respecté,2023-10-17 14:27,Dataset,5889d03ea3a72974cbf0d5b0,horaires de début et fin de vacances,2,"587f81e988ee384e209b81a5,6501a3a4d4e502c5b85862a2","Bonjour, Les dates que vous proposez pour les début (et fin) de vacances scolaires contiennent des horaires 22h00 ou 23h00 ... Cela peut poser problème quand on fait une vue mensuelle en faisant démarrer les vacances avec une journée d'avance. Serait-il possible d'utiliser systématiquement un horaire à 00h00 pour qu'il n'y ait pas d'ambigüité, s'il vous plaît ? Merci d'avance, cordialement, jacques
Bonjour, les horaires 22h/23h étaient des heures UTC, qui correspondaient à minuit heure de Paris (heure d'hiver ou d'été). Les événements ne contiennent désormais plus d'heure, seulement une date.",,,,,
65291e516a3c8b2e83954002,Jacques DUBOIS,Le calendrier scolaire,Exploitabilité,Formatage non respecté,2023-10-13 10:39,Dataset,5889d03ea3a72974cbf0d5b0,heures et fuseaux horaires,2,"587f81e988ee384e209b81a5,6501a3a4d4e502c5b85862a2","Bonjour, Serait-il possible d'intégrer le fuseau horaire de référence (X-WR-TIMEZONE) dans les différents fichiers que vous proposez afin de faciliter l'exploitation et l'interopérabilité des données ? De plus, pourquoi précisez-vous des horaires autres que T000000 ? Cordialement
Bonjour, les calendriers disposent désormais de l'attribut X-WR-TIMEZONE et les événements ne contiennent plus d'heure, seulement une date.",,,,,
651067340f8b75ebbb742740,Patrick PRÉVEAUX,Le calendrier scolaire,Accessibilité,Absence de données,2023-09-24 16:43,Dataset,5889d03ea3a72974cbf0d5b0,callendrier scolaire 2023-2024 et autres,2,"587f81e988ee384e209b81a5,5ef235e1b58ad098611bf14b","Bonjour,  Serait-il possible d'avoir un fichier d'export .ics complet pour les vacances scolaires 2023-2024 pour chaque zone, s'il vous plaît ?  Le fichier téléchargé ne pèse que 17 ko et n'affiche que les vacances de la Toussaint.  Merci d'avance. 
Bonjour, à ce jour l'import du calendrier https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-A-B-C-Corse.ics dans Thunderbird fait apparaître tous les congés de l'année.",,,,,
6501a540e1038c7bf0e58ea8,Jacques DUBOIS,Le calendrier scolaire,Accessibilité,Demande de jeu de données (set),2023-09-13 12:04,Dataset,5889d03ea3a72974cbf0d5b0,fichier ics spécifique des vacances de la Corse,3,"587f81e988ee384e209b81a5,6501a3a4d4e502c5b85862a2","Bonjour, Serait-il possible d'avoir un fichier d'export ics spécifique pour les vacances de la Corse, s'il vous plaît ? C'est la seule académie qui n'en ait pas ... Merci d'avance. 
Bonjour, le calendrier de la Corse est accessible à l'adresse https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Corse.ics
Bonjour, et merci pour votre retour. J'ai effectivement vu ce lien après coup. Il serait facilitant que ce calendrier soit répertorié dans la liste des fichiers avec tous les autres. ",,,,,
64ef0a8a161b27c7631d250c,M S,Le calendrier scolaire,Accessibilité,Absence de données,2023-08-30 09:23,Dataset,5889d03ea3a72974cbf0d5b0,Vacances des Outre-Mer manquantes pour l'année 2023-2024,1,64eefad8797e52cadb7d78f8,"Bonjour,  Je vous écris ce message car le jeu de données actuel n'inclut pas les dates des vacances scolaires des zones d'Outre-Mer suivantes:  - Guadeloupe  - Martinique - Guyane  - et Mayotte   et ce à partir de l'année scolaire 2023-2024.  Les dates ayant déjà été publiées sur le site internet du Service Public (https://www.service-public.fr/particuliers/vosdroits/F31952), serait-il possible s'il vous plaît de les mettre à jour sur le jeu de données ?  En vous remerciant d'avance et en vous souhaitant une bonne journée.",,,,,
64e84f5d776ed6c944c898a1,Alexandre Coulais,Le calendrier scolaire,Accessibilité,Lien mort,2023-08-25 06:51,Dataset,5889d03ea3a72974cbf0d5b0,Impossible d'ajouter le calendrier de la Zone B,3,"64e84e062f67c88dff990268,650bda7ebe10e199e0393e43,587f81e988ee384e209b81a5","Bonjour,  J'obtiens un message d'erreur lors de l'ajout du calendrier de la Zone B : ""impossible d'ajouter cet agenda réessayer dans quelques minutes"".  Pouvez-vous voir pourquoi?  J'ai essayer tous les autres liens (le général, Zone A, Zone C et Corse) et eux fonctionnent parfaitement.  Merci bonne journée.
Bonjour, Idem pour moi. S'agissant d'OpenData, je cherche encore à savoir comment on pourrait contribuer à solutionner le pb. Mais jusque-là sans succès.
Bonjour, aujourd'hui le lien est fonctionnel et le calendrier valide : https://icalendar.org/validator.html?url=https://fr.ftp.opendatasoft.com/openscol/fr-en-calendrier-scolaire/Zone-B.ics",,,,,
64d4a2fd7554f0e8bd3dc66f,f B,Le calendrier scolaire,Accessibilité,Absence de données,2023-08-10 08:42,Dataset,5889d03ea3a72974cbf0d5b0,calendrier Ics vacances scolaires academie reunion 2023-24,2,"587f81e988ee384e209b81a5,64d49fd89c4d45980a214617","Bonjour, le fichier ics vacances scolaire academie la reunion 23-24 ne semble pas disponible? Où peut-on le trouver. Merci
Bonjour, le calendrier scolaire a été mis à jour pour l'académie de la Réunion. Un export au format ics est disponible à cette adresse : https://data.education.gouv.fr/api/explore/v2.1/catalog/datasets/fr-en-calendrier-scolaire/exports/ical?refine=location%3A%22R%C3%A9union%22&refine=annee_scolaire%3A%222023-2024%22&timezone=Europe%2FParis",,,,,
69b040c5f79b41e1642eb7f9,Guillaume Gasnier,Indices de position sociale des collèges (à partir de 2023),Actualisation,Absence de mise à jour,2026-03-10 16:03,Dataset,664d7247ce9d483d0ee5a98b,Données rentrée 2025,2,"5fc6412720b3858e6657c31b,587f81e988ee384e209b81a5","Bonjour, ce jeu de données sera-t-il mis à jour avec les données de la rentrée 2025 ? SI oui quand ?
Bonjour, oui ces données seront mises à jour mais j'ignore quand.",2026-03-10 16:08,stéphane lebrasseur,58781988384209816,,
6984dc5b69ad289dcaf893f7,Philippe Litou,Annuaire de l'éducation,Fiabilité,Incohérence des données,2026-02-05 18:07,Dataset,5889d03fa3a72974cbf0d5b1,Lycée Galilée de Combs la Ville (77380) mal positionné,2,"587f81e988ee384e209b81a5,6984d8e7e3d5cc823abc0253","Le fichier https://www.data.gouv.fr/datasets/annuaire-de-leducation?resource_id=b22f04bf-64a8-495d-b8bb-d84dbc4c7983 (fr-en-annuaire-education.csv) donne une position erronée du Lycée Galilée de Combs la ville (77380), identifiant 0772127U. Les colonnes latitude et longitude valent respectivement 48.652191439656086 et  2.56174477575254, position située rue Berthelot de la même ville. L'adresse spécifiée est la bonne (avenue Malraux) mais les coordonnées (entrée du bâtiment) sont plutôt proches de :  longitude = 2,5588 latitude = 48,6577 
Bonjour, la valeur du champ ""precision_localisation"" est ""rue"", ce qui indique que l'établissement a été positionné sur la rue par l'IGN. Comme vous le faites remarquer, la position de la rues est correcte.",2026-02-06 08:08,stéphane lebrasseur,58781988384209816,Ministères de l'Éducation nationale,534fff8fa3a7292c64a77f22
6934570ac5f9499a72e1a3bc,Neila Lu,Annuaire de l'éducation,Accessibilité,Absence de données,2025-12-06 16:17,Dataset,5889d03fa3a72974cbf0d5b1,Manque nombre d'élèves,2,"587f81e988ee384e209b81a5,6932fb1992adb9f6d599323e","Bonjour, Dans la dernière mise à jour, la variable nombre_d_eleves ne contient plus de valeurs. Est-ce volontaire ou s'agit-il d'un oubli ? Merci
Bonjour,  le service producteur des données a décidé de ne plus maintenir ce champ. D'une part, les données sont disponibles dans d'autres jeux ouvert, et d'autre part les décalages de date de mise à jour entre les différents types d'établissements rendait cette donnée difficilement lisible.",2025-12-15 10:33,stéphane lebrasseur,58781988384209816,Ministères de l'Éducation nationale,534fff8fa3a7292c64a77f22
68c139c999224f4bbe05bee5,henri labarre,Annuaire de l'éducation,Accessibilité,Absence de données,2025-09-10 08:41,Dataset,5889d03fa3a72974cbf0d5b1,Manque nombre d'élèves,1,56a2069cc751df617bade716,Bonjour dans la dernière mise à jour il n'y a plus le nombre_d_eleves est ce volontaire ou un oubli?   merci pour le retour,,,,,
6811f0e945b196ccd6836cbe,Guillaume Gasnier,Annuaire de l'éducation,Compréhension,Absence de description des variables,2025-04-30 09:44,Dataset,5889d03fa3a72974cbf0d5b1,code_nature et libelle_nature : liste complète de ces codes,2,"5fc6412720b3858e6657c31b,587f81e988ee384e209b81a5","Bonjour,  Les données code_nature/libelle_nature sont très intéressantes et permettent de faire une classification très précise, mais je ne trouve pas d'informations à leur sujet (règles,liste complètes, etc..). Savez si il existe un tel schéma quelque part ?  Merci
Bonjour,  la nomenclature des natures d'établissements est disponible dans la base centrale des nomenclatures de la DEPP : https://bcn.depp.education.fr/bcn/workspace/viewTable/n/N_NATURE_UAI",,,,,
